Date,Company,Position,Industry,Place,Rejection,Interview,Assignment,Offer
02.04.2021,Ava & May,Data Analyst,Production,Berlin,Yes,No,No,No
02.04.2021,Ziegert Group,Data Scientist,Real Estate,Berlin,Yes,No,No,No
03.04.2021,Satyadata,Junior Data Analyst,Software,Berlin,Yes,No,No,No
03.04.2021,Outfittery,Data Insights Analyst,Marketplace,Berlin,Yes,No,No,No
03.04.2021,Research2Guidance,Data Analyst,Software,Berlin,Yes,No,No,No
03.04.2021,Adobe,Research Intern - Data Science & Machine Learning,Software,Hamburg,Yes,No,No,No
03.04.2021,Tier,(Senior) Data Analyst,Mobility,Berlin,Yes,No,No,No
03.04.2021,Tier,Data Analyst,Mobility,Berlin,Yes,No,No,No
05.04.2021,Crealytics,Junior BI Analyst,Marketing,Berlin,Yes,No,No,No
08.04.2021,Elastic,Data Analyst,Software,Berlin,Yes,No,No,No
08.04.2021,Babbel,Product Analyst,Online school,Berlin,Yes,No,No,No
08.04.2021,Finiata ,(Senior) Data Scientist,Software,Berlin,Yes,No,No,No
09.04.2021,Comtravo,Data/BI Analyst,Travel,Berlin,Yes,No,No,No
09.04.2021,tenjin,Data Analyst,Software,Berlin,Yes,No,No,No
09.04.2021,Ableton,Data Analyst,Software,Berlin,Yes,No,No,No
09.04.2021,Ultimate,Data Analyst,Software,Berlin,No,29.04.2021,No,No
09.04.2021,Phiture,Data Analyst,Consulting,Berlin,Yes,No,No,No
09.04.2021,Grover,Data Analyst,Finance,Berlin,Yes,No,No,No
12.04.2021,Marley Spoon,Data Scientist,Food,Berlin,Yes,No,No,No
12.04.2021,Travel Audience,(Senior) Data Analyst,Travel,Berlin,Yes,No,No,No
12.04.2021,Taxfix,Senior Data Analyst,Taxes,Berlin,No,22.04.2021,No,No
12.04.2021,Plus Dental,Senior Data Analyst,Dental,Berlin,Yes,No,No,No
13.04.2021,Pamono,Data Analyst,Production,Berlin,Yes,No,No,No
13.04.2021,BondIT,Data Scientist,Software,Berlin,Yes,No,No,No
13.04.2021,Pandata,Data Scientist,Software,Berlin,Yes,No,No,No
13.04.2021,Scope Group,Data Scientist,Consulting,Berlin,Yes,No,No,No
13.04.2021,Trade Republic,Senior Data Scientist,Fintech,Berlin,Yes,No,No,No
15.04.2021,Latana,Data Analyst,Marketing,Berlin,Yes,No,No,No
15.04.2021,Latana,Senior Data Scientist,Marketing,Berlin,Yes,No,No,No
15.04.2021,Bonial,Data Analyst,Marketing,Berlin,Yes,No,No,No
15.04.2021,Plus Dental,Marketing Data Analyst,Dental,Berlin,Yes,No,No,No
15.04.2021,Ada Health,Senior Data Analyst,Health,Berlin,Yes,No,No,No
15.04.2021,Wolt,Operations Data Analyst,Delivery,Berlin,No,28.04.2021,No,No
15.04.2021,Takeda,Data Scientist,Pharmaceutics,Berlin,Yes,No,No,No
15.04.2021,Caspar Health,Data Analyst,Health,Berlin,Yes,No,No,No
15.04.2021,HomeToGo,Data Analyst,Software,Berlin,No,20.04.2021,No,No
15.04.2021,Vivid Money,Data Analyst,Fintech,Berlin,Yes,No,No,No
16.04.2021,Bonial,Data Scientist,Marketing,Berlin,Yes,No,No,No
16.04.2021,Morressier,Senior Data Analyst,Software,Berlin,Yes,No,No,No
16.04.2021,Staiy,Data Entry Analyst,Marketplace,Berlin,Yes,No,No,No
